player_name,position,team_abbr,our_rank,vor,ecr_overall_rank,espn_rank,espn_adp,espn_vs_fp_gap
Jalen McMillan,WR,TB,170,-63.11766932792406,168.44,196.0,166.93,-27.560000000000002
Travis Hunter,WR,JAX,171,-63.77985440115894,170.27,128.0,118.32,42.27000000000001
Keaton Mitchell,RB,BAL,172,-63.92963117103591,163.01,233.0,170.32,-69.99000000000001
Theo Johnson,TE,NYG,173,-64.08730193748895,271.07,465.0,170.2,-193.93
Jonah Coleman,RB,DEN,174,-64.72802737073532,161.98,324.0,170.04,-162.02
Mason Taylor,TE,NYJ,175,-64.84337930596739,268.37,464.0,169.98,-195.63
Jaylin Noel,WR,HOU,176,-65.00147766759619,194.49,226.0,170.76,-31.50999999999999
Ryan Flournoy,WR,DAL,177,-65.00147766759619,188.35,307.0,170.32,-118.65
Troy Franklin,WR,DEN,178,-65.00147766759619,188.83,989.0,170.65,-800.17
Kayshon Boutte,WR,NE,179,-65.00147766759619,192.93,393.0,170.44,-200.07
Alvin Kamara,RB,NO,180,-65.72897680489923,150.02,189.0,156.32,-38.97999999999999
Brandon Aiyuk,WR,SF,181,-66.54584051709024,209.22,309.0,170.42,-99.78
Jalen Nailor,WR,MIN,182,-67.55014002884445,204.68,223.0,169.56,-18.319999999999993
Darnell Washington,TE,PIT,183,-69.00535882834471,290.82,445.0,169.77,-154.18
Emmett Johnson,RB,KC,184,-69.99528563788796,196.3,326.0,169.92,-129.7
Brian Robinson Jr.,RB,SF,185,-69.99528563788796,171.72,216.0,169.03,-44.28
Emanuel Wilson,RB,GB,186,-69.99528563788796,200.88,403.0,170.66,-202.12
Kimani Vidal,RB,LAC,187,-69.99528563788796,200.05,349.0,170.27,-148.95
Tank Bigsby,RB,PHI,188,-69.99528563788796,174.8,195.0,168.43,-20.19999999999999
Ray Davis,RB,BUF,189,-70.00402535736393,203.78,214.0,170.57,-10.219999999999999
Antonio Williams,WR,WAS,190,-70.0988023900927,193.62,203.0,169.65,-9.379999999999995
Deebo Samuel Sr.,WR,WAS,191,-70.0988023900927,187.4,293.0,169.77,-105.6
Max Klare,TE,LAR,192,-70.43628399116591,303.61,467.0,170.03,-163.39
Jerry Jeudy,WR,CLE,193,-70.75369666093567,156.66,179.0,162.54,-22.340000000000003
Darnell Mooney,WR,ATL,194,-71.53292611791957,207.59,228.0,170.08,-20.409999999999997
Pat Bryant,WR,DEN,195,-71.95072250467382,212.02,363.0,170.9,-150.98
Tyler Higbee,TE,LAR,196,-72.22765689871355,311.07,466.0,169.96,-154.93
Tre Tucker,WR,LV,197,-72.64479438080096,173.47,210.0,168.3,-36.53
Calvin Ridley,WR,TEN,198,-72.64746475134096,203.94,197.0,167.55,6.939999999999998
Adonai Mitchell,WR,NYJ,199,-72.6876663065084,169.27,208.0,169.85,-38.72999999999999
Malik Willis,QB,GB,200,-72.80901067632684,135.83,206.0,166.54,-70.16999999999999
Denzel Boston,WR,CLE,201,-72.98613824357253,157.45,201.0,167.62,-43.55000000000001
Dontayvion Wicks,WR,GB,202,-73.0226775848194,213.83,392.0,170.31,-178.17
Oscar Delp,TE,NO,203,-73.58999753446099,301.1,1241.0,169.97,-939.9
Dawson Knox,TE,BUF,204,-73.60510704445758,323.96,460.0,169.82,-136.04000000000002
Noah Gray,TE,KC,205,-73.60510704445758,317.07,469.0,170.02,-151.93
Elijah Arroyo,TE,SEA,206,-73.60510704445758,313.23,443.0,169.99,-129.76999999999998
Erick All Jr.,TE,CIN,207,-73.60510704445758,311.08,1021.0,169.98,-709.9200000000001
Cole Kmet,TE,CHI,208,-74.98255719020159,318.54,470.0,169.79,-151.45999999999998
Sean Tucker,RB,TB,210,-77.44986805388083,212.6,399.0,170.19,-186.4
John Bates,TE,WAS,211,-77.73745748168963,316.44,1041.0,170.0,-724.56
Michael Mayer,TE,LV,212,-79.11490762743367,304.04,418.0,170.09,-113.95999999999998
Ja'Tavion Sanders,TE,CAR,213,-79.11490762743367,309.68,441.0,170.06,-131.32
Mike Washington Jr.,RB,LV,214,-79.14950722171645,202.74,211.0,170.18,-8.259999999999991
Kyler Murray,QB,ARI,215,-80.22174836086364,113.22,182.0,148.41,-68.78
Drew Sample,TE,CIN,216,-80.24136560312542,339.75,1027.0,169.99,-687.25
Noah Fant,TE,CIN,218,-80.7036738628749,340.65,471.0,170.02,-130.35000000000002
Braelon Allen,RB,NYJ,221,-81.1071088054312,170.74,194.0,169.19,-23.25999999999999
Eli Raridon,TE,NE,222,-83.22759706716795,341.72,1033.0,169.91,-691.28
James Conner,RB,ARI,223,-83.72661801363068,189.69,232.0,169.53,-42.31
Nicholas Singleton,RB,TEN,224,-85.12499481366442,213.7,315.0,170.08,-101.30000000000001
Durham Smythe,TE,CHI,225,-85.86246681338862,345.5,1100.0,169.98,-754.5
Tommy Tremble,TE,CAR,226,-85.88477166306978,341.17,468.0,170.02,-126.82999999999998
Justice Hill,RB,BAL,227,-86.24543357383867,238.07,271.0,170.41,-32.93000000000001
Tank Dell,WR,HOU,228,-86.44850628800519,225.86,313.0,170.13,-87.13999999999999
Kaytron Allen,RB,WAS,229,-86.60558587289314,218.49,314.0,170.16,-95.50999999999999
Josh Oliver,TE,MIN,231,-88.40511287605116,351.4,1028.0,169.95,-676.6
Rashod Bateman,WR,BAL,232,-88.62703501165639,233.8,224.0,170.42,9.800000000000011
Elijah Sarratt,WR,BAL,233,-88.62703501165639,250.45,391.0,170.07,-140.55
Chimere Dike,WR,TEN,234,-88.72348114980915,222.62,1057.0,170.84,-834.38
Malik Washington,WR,MIA,235,-89.56512852317402,214.08,333.0,170.06,-118.91999999999999
Austin Hooper,TE,NE,237,-90.0333973584008,352.71,472.0,169.98,-119.29000000000002
De'Zhaun Stribling,WR,SF,238,-90.38105856068869,236.69,338.0,170.42,-101.31
Keon Coleman,WR,BUF,239,-90.38105856068869,248.38,377.0,170.0,-128.62
Cooper Kupp,WR,SEA,240,-90.38105856068869,228.53,311.0,168.68,-82.47
Tory Horton,WR,SEA,241,-90.68280773777248,262.9,374.0,170.6,-111.10000000000002
Tyquan Thornton,WR,KC,243,-90.68280773777248,271.52,979.0,169.98,-707.48
Andrei Iosivas,WR,CIN,244,-90.68280773777248,266.6,422.0,170.12,-155.39999999999998
Charlie Kolar,TE,BAL,245,-91.38519110951243,357.6,1147.0,170.03,-789.4
Daniel Jones,QB,IND,246,-92.08133265031223,161.96,186.0,162.18,-24.039999999999992
Christian Kirk,WR,HOU,247,-92.4282456552102,252.13,334.0,170.82,-81.87
Marvin Mims Jr.,WR,DEN,248,-92.4282456552102,256.26,981.0,170.03,-724.74
Kyle Williams,WR,NE,249,-92.4282456552102,268.05,1107.0,169.9,-838.95
Mack Hollins,WR,NE,251,-93.20053179188898,272.31,1073.0,169.94,-800.69
Luke Musgrave,TE,GB,252,-93.43005182492917,357.69,1048.0,169.92,-690.31
