player_name,position,team,pass_yards_line,rush_yards_line,rec_yards_line,pass_tds_line,rush_tds_line,rec_tds_line,receptions_line,headshot_url
Terry McLaurin,WR,WAS,,,925.5,,,5.5,71.5,https://images.fantasypros.com/images/players/nfl/18466/headshot/210x210.webp
Tetairoa McMillan,WR,CAR,,,925.5,,,6.5,72.5,https://images.fantasypros.com/images/players/nfl/25417/headshot/210x210.webp
Tony Pollard,RB,TEN,,800.5,,,5.5,,,https://images.fantasypros.com/images/players/nfl/18705/headshot/210x210.webp
Travis Etienne Jr.,RB,NO,,825.5,,,5.5,,35.5,https://images.fantasypros.com/images/players/nfl/19231/headshot/210x210.webp
Travis Kelce,TE,KC,,0.5,675.5,,,4.5,66.5,https://images.fantasypros.com/images/players/nfl/11594/headshot/210x210.webp
Tre Tucker,WR,LV,,,575.5,,,,47.5,https://images.fantasypros.com/images/players/nfl/25337/headshot/210x210.webp
TreVeyon Henderson,RB,NE,,700.5,,,6.5,0.5,,https://images.fantasypros.com/images/players/nfl/23065/headshot/210x210.webp
Trevor Lawrence,QB,JAC,4105.0,299.5,,25.5,4.5,,,https://images.fantasypros.com/images/players/nfl/19780/headshot/210x210.webp
Trey McBride,TE,ARI,,,950.5,,,6.5,97.5,https://images.fantasypros.com/images/players/nfl/22936/headshot/210x210.webp
Tucker Kraft,TE,GB,,,700.0,,,4.5,49.5,https://images.fantasypros.com/images/players/nfl/25298/headshot/210x210.webp
Tyler Shough,QB,NO,3600.5,,,20.5,4.5,,,https://images.fantasypros.com/images/players/nfl/23096/headshot/210x210.webp
Tyler Warren,TE,IND,,,766.5,,,4.5,74.5,https://images.fantasypros.com/images/players/nfl/26434/headshot/210x210.webp
Wan'Dale Robinson,WR,TEN,,,700.5,,,,,https://images.fantasypros.com/images/players/nfl/22985/headshot/210x210.webp
Xavier Worthy,WR,KC,,,641.5,,,4.5,,https://images.fantasypros.com/images/players/nfl/23019/headshot/210x210.webp
Zay Flowers,WR,BAL,,54.5,975.5,,0.5,5.5,74.5,https://images.fantasypros.com/images/players/nfl/22916/headshot/210x210.webp
