our_rank,player_name,position,team_abbr,vor,projected_ppr_points,games_missed,team_env_adj,projection_source,ecr_overall_rank,ecr_position_rank,value_vs_adp,team_win_total,replacement_points_at_position,proj_pass_yards,proj_pass_tds,proj_rush_yards,proj_rush_tds,proj_rec_yards,proj_rec_tds,proj_receptions
157,Terrance Ferguson,TE,LAR,-57.227056451624435,71.5669634041135,0.0,1.7409937500000003,ecr_calibrated,248.7,30.0,91.69999999999999,11.5,130.53501360573793,,,,,,,
158,Greg Dulcich,TE,MIA,-57.838711646265466,75.28844820947246,0.0,-2.5921462500000003,vegas_prop,214.84,25.0,56.84,4.5,130.53501360573793,,,,,400.5,2.7244897959183674,37.78301886792453
159,Colby Parkinson,TE,LAR,-58.34387932643105,70.45014052930688,0.0,1.7409937500000003,ecr_calibrated,256.2,31.0,97.19999999999999,11.5,130.53501360573793,,,,,,,
160,Omar Cooper Jr.,WR,NYJ,-59.67367787771887,95.815625,0.0,-3.461625,vegas_prop,158.82,60.0,-1.1800000000000068,5.5,152.02767787771887,,,,,538.0,3.5,42.03125
161,Evan Engram,TE,DEN,-60.74392980864133,69.28813004709659,0.0,0.5029537500000001,ecr_calibrated,256.81,32.0,95.81,9.5,130.53501360573793,,,,,,,
162,Kyler Murray,QB,MIN,-61.10230324864,234.18200842696626,0.0,-0.70250625,vegas_prop,113.22,17.0,-48.78,8.5,294.58180542560626,3000.5,17.5,375.5,3.9114583333333335,,,
163,Eli Stowers,TE,PHI,-61.57448332074494,67.83855653499299,0.0,1.1219737500000002,ecr_calibrated,265.63,33.0,102.63,10.5,130.53501360573793,,,,,,,
164,Stefon Diggs,WR,FA,-62.16011053366005,89.86756734405883,0.0,0.0,ecr_calibrated,161.41,61.0,-2.5900000000000034,,152.02767787771887,,,,,,,
165,Jauan Jennings,WR,MIN,-62.36373553366005,89.86756734405883,0.0,-0.203625,ecr_calibrated,153.41,57.0,-11.590000000000003,8.5,152.02767787771887,,,,,,,
166,Jalen McMillan,WR,TB,-62.818346448006935,89.41295642971194,0.0,-0.203625,ecr_calibrated,168.44,62.0,2.4399999999999977,8.5,152.02767787771887,,,,,,,
